wl,n,k
8.81,3.469717262,3.74231E-05
8.82,3.469714865,3.96045E-05
8.83,3.469712384,4.20235E-05
8.84,3.469709821,4.47136E-05
8.85,3.469707185,4.77133E-05
8.86,3.469704487,5.10673E-05
8.87,3.469701746,5.48267E-05
8.88,3.46969899,5.90497E-05
8.89,3.46969626,6.38024E-05
8.9,3.469693611,6.91576E-05
8.91,3.469691123,7.51945E-05
8.92,3.469688901,8.19953E-05
8.93,3.469687089,8.96397E-05
8.94,3.469685876,9.81953E-05
8.95,3.4696855,0.000107702
8.96,3.469686263,0.000118151
8.97,3.469688517,0.000129449
8.98,3.469692654,0.000141384
8.99,3.469699065,0.000153582
9,3.469708063,0.000165478
9.01,3.469719795,0.000176327
9.02,3.469734123,0.000185263
9.03,3.469750559,0.000191437
9.04,3.469768265,0.000194194
9.05,3.469786168,0.000193243
9.06,3.469803164,0.000188736
9.07,3.469818326,0.000181223
9.08,3.469831054,0.000171504
9.09,3.469841103,0.000160444
9.1,3.469848532,0.000148825
9.11,3.469853604,0.000137264
9.12,3.469856681,0.000126189
9.13,3.469858148,0.000115862
9.14,3.469858363,0.000106413
9.15,3.469857637,9.78777E-05
9.16,3.469856223,9.02372E-05
9.17,3.469854322,8.34364E-05
9.18,3.46985209,7.74037E-05
9.19,3.469849643,0.000072062
9.2,3.469847069,0.000067335
9.21,3.469844432,0.000063151
9.22,3.469841777,5.94445E-05
9.23,3.469839138,5.61571E-05
9.24,3.469836537,5.32372E-05
9.25,3.469833989,5.06394E-05
9.26,3.469831505,4.83246E-05
9.27,3.469829091,4.62583E-05
9.28,3.469826749,4.44111E-05
9.29,3.469824481,4.27572E-05
9.3,3.469822286,4.12744E-05
9.31,3.469820163,3.99432E-05
9.32,3.469818109,3.87471E-05
9.33,3.469816123,3.76713E-05
9.34,3.469814202,3.67031E-05
9.35,3.469812341,3.58314E-05
9.36,3.46981054,3.50464E-05
9.37,3.469808793,3.43396E-05
9.38,3.469807099,3.37035E-05
9.39,3.469805454,3.31314E-05
9.4,3.469803856,3.26175E-05
9.41,3.469802302,3.21566E-05
9.42,3.46980079,3.17441E-05
9.43,3.469799316,0.000031376
9.44,3.46979788,3.10485E-05
9.45,3.469796478,3.07585E-05
9.46,3.469795109,3.05031E-05
9.47,3.469793771,3.02796E-05
9.48,3.469792462,3.00857E-05
9.49,3.46979118,2.99193E-05
9.5,3.469789924,2.97786E-05
9.51,3.469788692,2.96618E-05
9.52,3.469787483,2.95674E-05
9.53,3.469786295,2.94941E-05
9.54,3.469785128,2.94406E-05
9.55,3.46978398,2.94057E-05
9.56,3.46978285,2.93884E-05
9.57,3.469781737,2.93878E-05
9.58,3.46978064,2.94031E-05
9.59,3.469779558,2.94335E-05
9.6,3.46977849,2.94782E-05
9.61,3.469777435,2.95368E-05
9.62,3.469776394,2.96085E-05
9.63,3.469775364,2.96928E-05
9.64,3.469774345,2.97894E-05
9.65,3.469773337,2.98978E-05
9.66,3.469772339,3.00175E-05
9.67,3.469771351,3.01482E-05
9.68,3.469770371,3.02897E-05
9.69,3.469769399,3.04415E-05
9.7,3.469768435,3.06035E-05
9.71,3.469767479,3.07755E-05
9.72,3.46976653,3.09572E-05
9.73,3.469765587,3.11484E-05
9.74,3.46976465,0.000031349
9.75,3.469763718,3.15588E-05
